update_date,update_time,NOFO_Region,Positive_Cases,Deaths,Tested
2020-03-17 0:00:00,12:00,Central,3,0,0
2020-03-18 0:00:00,12:00,Central,3,0,0
2020-03-19 0:00:00,12:00,Central,4,0,0
2020-03-20 0:00:00,12:00,Central,5,1,0
2020-03-21 0:00:00,12:00,Central,5,1,0
2020-03-22 0:00:00,12:00,Central,5,1,0
2020-03-24 0:00:00,12:00,Central,6,1,0
2020-03-25 0:00:00,12:00,Central,7,1,0
2020-03-26 0:00:00,12:00,Central,9,1,0
2020-03-27 0:00:00,12:00,Central,9,1,0
2020-03-28 0:00:00,12:00,Central,13,1,0
2020-03-29 0:00:00,12:00,Central,22,1,0
2020-03-30 0:00:00,12:00,Central,32,1,0
2020-03-31 0:00:00,12:00,Central,36,2,0
2020-04-01 0:00:00,12:00,Central,41,3,0
2020-04-02 0:00:00,12:00,Central,45,4,0
2020-04-03 0:00:00,12:00,Central,49,5,0
2020-04-04 0:00:00,12:00,Central,61,5,0
2020-04-05 0:00:00,12:00,Central,71,6,0
2020-04-06 0:00:00,12:00,Central,82,6,0
2020-04-07 0:00:00,12:00,Central,93,7,0
2020-04-08 0:00:00,12:00,Central,99,8,0
2020-04-09 0:00:00,12:00,Central,112,8,0
2020-04-10 0:00:00,12:00,Central,120,8,0
2020-04-11 0:00:00,12:00,Central,131,8,0
2020-04-12 0:00:00,21:12,Central,146,8,0
2020-04-13 0:00:00,16:26,Central,160,8,0
2020-04-14 0:00:00,16:14,Central,166,9,0
2020-04-15 0:00:00,16:16,Central,165,13,0
2020-04-16 0:00:00,19:10,Central,174,14,0
2020-04-17 0:00:00,17:34,Central,180,14,0
2020-04-17 0:00:00,20:59,Central,180,14,0
2020-04-18 0:00:00,15:50,Central,199,16,0
2020-04-19 0:00:00,14:45,Central,200,17,0
2020-04-20 0:00:00,14:45,Central,209,19,0
2020-04-21 0:00:00,14:45,Central,224,19,0
2020-04-22 0:00:00,15:25,Central,268,20,0
2020-04-23 0:00:00,14:48,Central,280,21,0
2020-04-24 0:00:00,14:43,Central,307,22,0
2020-04-24 0:00:00,15:24,Central,307,22,0
2020-04-25 0:00:00,14:45,Central,329,23,0
2020-04-26 0:00:00,14:45,Central,348,23,0
2020-04-27 0:00:00,15:07,Central,360,25,0
2020-04-28 0:00:00,15:05,Central,419,25,5566
2020-04-29 0:00:00,17:23,Central,437,27,5893
2020-04-30 0:00:00,16:42,Central,453,28,6186
2020-05-01 0:00:00,15:37,Central,477,29,0
2020-05-02 0:00:00,23:28,Central,509,30,6896
2020-05-03 0:00:00,14:45,Central,517,30,7836
2020-05-04 0:00:00,22:16,Central,525,31,8296
2020-05-05 0:00:00,14:45,Central,539,35,8458
2020-05-06 0:00:00,15:43,Central,570,35,9120
2020-05-07 0:00:00,14:45,Central,583,37,9647
2020-05-08 0:00:00,14:45,Central,612,42,10184
2020-05-09 0:00:00,14:45,Central,623,42,10584
2020-05-10 0:00:00,14:45,Central,629,42,11011
2020-05-11 0:00:00,14:45,Central,636,42,11117
2020-05-12 0:00:00,14:45,Central,664,45,11782
2020-05-13 0:00:00,14:45,Central,670,47,12236
2020-05-13 0:00:00,15:45,Central,670,47,12157
2020-05-14 0:00:00,14:45,Central,692,48,13040
2020-05-15 0:00:00,21:28,Central,710,50,13997
2020-05-16 0:00:00,14:45,Central,718,50,15377
2020-05-17 0:00:00,14:45,Central,726,50,15875
2020-05-18 0:00:00,14:45,Central,734,50,16823
2020-05-19 0:00:00,23:29,Central,741,50,17503
2020-05-20 0:00:00,14:44,Central,755,50,19766
2020-05-21 0:00:00,14:36,Central,765,51,21181
2020-05-22 0:00:00,14:45,Central,768,51,21796
2020-05-23 0:00:00,23:48,Central,776,52,23019
2020-05-24 0:00:00,14:45,Central,778,53,23465
2020-05-25 0:00:00,14:45,Central,781,53,23745
2020-05-26 0:00:00,14:45,Central,783,53,24376
2020-05-27 0:00:00,14:45,Central,791,54,25087
2020-05-28 0:00:00,14:45,Central,804,56,26186
2020-05-29 0:00:00,14:45,Central,816,57,27240
2020-05-30 0:00:00,14:45,Central,821,57,27683
2020-05-31 0:00:00,14:45,Central,823,57,28197
2020-06-01 0:00:00,14:45,Central,824,57,28774
2020-06-02 0:00:00,14:45,Central,829,57,29241
2020-06-03 0:00:00,14:45,Central,835,57,30187
2020-06-04 0:00:00,14:45,Central,849,58,31334
2020-06-05 0:00:00,14:45,Central,855,58,32285
2020-06-06 0:00:00,14:45,Central,859,61,32773
2020-06-07 0:00:00,14:45,Central,861,61,33284
2020-06-08 0:00:00,14:45,Central,864,61,34053
2020-06-09 0:00:00,14:45,Central,875,61,34971
2020-06-10 0:00:00,14:45,Central,878,61,35842
2020-06-11 0:00:00,14:45,Central,933,61,37294
2020-06-12 0:00:00,14:45,Central,942,62,38574
2020-06-13 0:00:00,14:45,Central,940,62,39340
2020-06-14 0:00:00,14:45,Central,948,62,39924
2020-06-15 0:00:00,14:45,Central,956,62,40635
2020-06-16 0:00:00,14:45,Central,962,62,41405
2020-06-17 0:00:00,14:45,Central,966,63,42301
2020-06-18 0:00:00,14:45,Central,981,63,44067
2020-06-19 0:00:00,14:45,Central,1012,64,46931
2020-06-20 0:00:00,13:45,Central,1013,64,48606
2020-06-21 0:00:00,14:45,Central,1014,64,49385
2020-06-22 0:00:00,14:45,Central,1016,64,50068
2020-06-23 0:00:00,14:45,Central,1024,65,51206
2020-06-24 0:00:00,20:58,Central,1052,65,53123
2020-06-25 0:00:00,14:45,Central,1061,65,54762
2020-06-26 0:00:00,14:45,Central,1066,66,56442
2020-06-27 0:00:00,12:45,Central,1085,66,57523
2020-06-28 0:00:00,11:45,Central,1090,66,58115
2020-06-29 0:00:00,14:45,Central,1103,66,59250
2020-06-30 0:00:00,14:45,Central,1119,67,60584
2020-07-01 0:00:00,15:45,Central,1126,68,61329
2020-07-02 0:00:00,15:45,Central,1139,68,62457
2020-07-03 0:00:00,14:45,Central,1150,72,64367
2020-07-04 0:00:00,14:45,Central,1164,73,65751
2020-07-05 0:00:00,14:45,Central,1173,73,66548
2020-07-06 0:00:00,14:45,Central,1183,73,67512
2020-07-07 0:00:00,14:45,Central,1203,74,69088
2020-07-08 0:00:00,14:45,Central,1221,74,70297
2020-07-09 0:00:00,14:45,Central,1252,74,72184
2020-07-10 0:00:00,14:45,Central,1283,75,73630
2020-07-11 0:00:00,12:45,Central,1311,75,75263
2020-07-12 0:00:00,13:45,Central,1335,77,77187
2020-07-13 0:00:00,14:45,Central,1363,78,78576
2020-07-14 0:00:00,14:45,Central,1383,79,79865
2020-07-15 0:00:00,12:45,Central,1435,79,82593
2020-07-16 0:00:00,14:45,Central,1468,79,84647
2020-07-17 0:00:00,14:45,Central,1518,79,86749
2020-07-18 0:00:00,14:45,Central,1561,80,88559
2020-07-19 0:00:00,12:45,Central,1595,80,90003
2020-07-20 0:00:00,14:45,Central,1633,81,91778
2020-07-21 0:00:00,14:45,Central,1668,81,92793
