date,geography_modeled,scenario_name,cases_median,cases_lower,cases_upper,cases_new_median,cases_new_lower,cases_new_upper,deaths_median,deaths_lower,deaths_upper,deaths_det_median,deaths_det_lower,deaths_det_upper,hosp_bed_median,hosp_bed_lower,hosp_bed_upper,icu_median,icu_lower,icu_upper,vent_median,vent_lower,vent_upper,recovered_median,recovered_lower,recovered_upper,rt_median,rt_lower,rt_upper
2020-03-01,covidregion_1,baseline,13,4,22.25,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,10,2.68898744392812,1.76122946128319,4.59585691008747
2020-03-02,covidregion_1,baseline,16,5,30,4,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,11,2.55710286336145,1.70631470562588,4.26727388766276
2020-03-03,covidregion_1,baseline,21,6,40,6,1,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,5,12,2.38106752361444,1.61404605624369,3.87117792635229
2020-03-04,covidregion_1,baseline,27,8,52.25,7,1,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,6,14,2.19147875552291,1.52198023421703,3.46358104219441
2020-03-05,covidregion_1,baseline,35,9.75,68.25,10,2,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,7,17,2.01470411076824,1.44524081702291,3.11908703769746
2020-03-06,covidregion_1,baseline,46,13.75,91,12,3,27,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,13,9,20,1.8578595446605,1.38964547139132,2.78018163363018
2020-03-07,covidregion_1,baseline,60,17.5,119.5,16,4,35,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,16,11,25,1.71513821893199,1.32510762051351,2.45704730800947
2020-03-08,covidregion_1,baseline,77,23,154.5,21,6,47,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,20,12,32,1.60222565371805,1.27379370163851,2.19910807092985
2020-03-09,covidregion_1,baseline,99,30.75,202.75,27,7,59.25,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,24,13.75,39.25,1.50114532624013,1.23029225987617,1.98773608669443
2020-03-10,covidregion_1,baseline,129,38.75,264,35,9.75,71.25,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,30,16,53,1.4182482593396,1.1921503455826,1.81752528758632
2020-03-11,covidregion_1,baseline,164,50.25,341.5,45,13.75,96.5,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,38,18.75,68,1.35224125540944,1.16458317589945,1.67177041498032
2020-03-12,covidregion_1,baseline,212,64,437,58,15.75,125.25,0,0,1,0,0,0,1,0,5,0,0,2,0,0,0,48,22,90.25,1.29700360912513,1.14070043632389,1.56867085376609
2020-03-13,covidregion_1,baseline,272,81,566.25,72,20,158.5,0,0,0.25,0,0,0,2,0,6,0,0,2,0,0,0,62,26,114.5,1.24810934687937,1.11501159082233,1.46695963859861
2020-03-14,covidregion_1,baseline,341,100,712.75,86,22.5,189.25,0,0,1,0,0,0,2,0,8,0,0,3,0,0,0.66,79,32,151.25,1.20437149797535,1.09141274817195,1.39577279407178
2020-03-15,covidregion_1,baseline,423,122,906.5,105,30,236.75,0,0,1,0,0,0,3,0,10,1,0,4,0,0,0.66,100,39,194.25,1.15805760970501,1.06242637965965,1.31516893309192
2020-03-16,covidregion_1,baseline,525,147.25,1162.25,128,35.75,300.5,0,0,1,0,0,0,4,0,11,1,0,4,0,0,0.66,125,46.75,250.25,1.11950185076823,1.03892804878572,1.24877254524347
